
sensor,date,time,Density,Flow,Speed,
S1708,2013/01/08,6:30 AM,18.443333,2004.0,59.808334,
S1708,2013/01/08,7 AM,30.694445,3128.0,54.95,
S1708,2013/01/08,7:30 AM,35.29555,3534.0,52.3,
S1708,2013/01/08,8 AM,65.05777,3296.0,34.258335,
S1708,2013/01/08,8:30 AM,46.622215,2910.0,39.083332,
S1708,2013/01/08,9 AM,29.50333,3026.0,54.891666,
S1708,2013/01/08,9:30 AM,26.804441,2796.0,56.925,
S1708,2013/01/08,10 AM,27.147776,2846.0,56.866665,
S1708,2013/01/08,10:30 AM,22.635555,2338.0,58.491665,
S1708,2013/01/08,11 AM,22.615557,2296.0,58.583332,
S1708,2013/01/08,11:30 AM,21.57667,2276.0,59.4,
S1708,2013/01/08,Noon,22.528887,2308.0,58.908333,
S1708,2013/01/08,12:30 PM,23.374445,2408.0,58.583332,
S1708,2013/01/08,1 PM,25.876665,2712.0,58.341667,
S1708,2013/01/08,1:30 PM,23.686663,2450.0,58.425,
S1708,2013/01/08,2 PM,25.101112,2614.0,58.25,
S1708,2013/01/08,2:30 PM,26.076668,2772.0,57.75,
S1708,2013/01/08,3 PM,26.253336,2768.0,58.3,
S1708,2013/01/08,3:30 PM,25.78667,2864.0,58.483334,
S1708,2013/01/08,4 PM,26.042217,2836.0,57.333332,
S1708,2013/01/08,4:30 PM,26.56333,2888.0,56.133335,
S1708,2013/01/08,5 PM,66.143326,2728.0,34.575,
S1708,2013/01/08,5:30 PM,103.21335,2208.0,15.8,
S1708,2013/01/08,6 PM,114.93001,1828.0,11.891666,
S1708,2013/01/08,6:30 PM,118.65667,1700.0,12.175,
S1708,2013/01/08,7 PM,104.98556,2102.0,15.008333,
S1708,2013/01/08,7:30 PM,31.875557,2066.0,49.875,
S1708,2013/01/08,8 PM,14.570002,1648.0,58.325,
S1708,2013/01/08,8:30 PM,15.561112,1780.0,57.991665,
S1708,2013/01/08,9 PM,14.898886,1750.0,57.566666,
S1708,2013/01/08,9:30 PM,14.118886,1650.0,58.066666,
S1708,2013/01/08,10 PM,11.690001,1422.0,58.6,
S1708,2013/01/08,10:30 PM,10.4377775,1244.0,58.666668,
S1708,2013/01/08,11 PM,9.548889,1034.0,58.625,
S1708,2013/01/08,11:30 PM,6.361112,722.0,59.23729,
S1708,2013/01/08,Midnight,5.0411124,562.0,59.23729,
S1708,2013/01/09,12:30 AM,3.553333,372.0,59.525864,
S1708,2013/01/09,1 AM,3.1166663,304.0,59.824074,
S1708,2013/01/09,1:30 AM,2.495652,90.0,59.904762,
S1708,2013/01/09,2 AM,-1.0,0.0,-1.0,
S1708,2013/01/09,2:30 AM,1.1,4.0,55.5,
