date ,time ,S60,S124,S1816
07/01/2013,5:30 am,4.860404,2.2043922,5.4399996
07/01/2013,6:00 am,9.982474,3.9078245,9.835555
07/01/2013,6:30 am,14.025408,5.6727896,14.9788885
07/01/2013,7:00 am,25.06151,8.161754,23.239447
07/01/2013,7:30 am,28.83561,8.063028,28.63611
07/01/2013,8:00 am,38.40855,9.140571,34.979443
07/01/2013,8:30 am,42.59657,8.535267,31.88333
07/01/2013,9:00 am,27.790005,7.7269044,29.030558
07/01/2013,9:30 am,21.80682,6.549736,24.197779
07/01/2013,10:00 am,18.553339,7.739696,23.91778
07/01/2013,10:30 am,15.964201,7.7128015,21.909445
07/01/2013,11:00 am,16.132545,7.8598995,23.084997
07/01/2013,11:30 am,14.750162,8.185951,22.85556
07/01/2013,Noon,14.985458,8.5195055,23.279999
07/01/2013,12:30 pm,15.049959,9.383215,22.818892
07/01/2013,1:00 pm,16.469433,8.912128,23.56222
07/01/2013,1:30 pm,15.5933275,9.527928,23.631111
07/01/2013,2:00 pm,16.755749,9.824279,24.325552
07/01/2013,2:30 pm,16.601665,11.62348,28.528881
07/01/2013,3:00 pm,17.944633,13.042299,29.636675
07/01/2013,3:30 pm,17.422792,13.9466,41.49278
07/01/2013,4:00 pm,18.412514,15.598759,65.92113
07/01/2013,4:30 pm,19.20947,17.281458,53.27889
07/01/2013,5:00 pm,21.583172,16.985315,65.007774
07/01/2013,5:30 pm,20.718966,16.240025,54.234444
07/01/2013,6:00 pm,17.841175,14.53683,35.29111
07/01/2013,6:30 pm,16.95467,13.23075,26.146667
07/01/2013,7:00 pm,15.816879,9.241075,20.257776
07/01/2013,7:30 pm,12.319901,8.543942,16.818338
07/01/2013,8:00 pm,9.896286,7.3000417,14.120556
07/01/2013,8:30 pm,9.77363,6.6629014,12.845002
07/01/2013,9:00 pm,8.498088,6.26526,12.043887
07/01/2013,9:30 pm,9.652772,6.5801015,11.872778
07/01/2013,10:00 pm,7.5939393,5.8267035,10.04111
07/01/2013,10:30 pm,6.804986,5.2058697,9.299444
07/01/2013,11:00 pm,6.154835,4.1069384,7.333334
07/01/2013,11:30 pm,4.2637606,3.1937933,5.874445
07/01/2013,Midnight,3.6726491,3.363693,5.223334
08/01/2013,12:30 am,2.3417134,2.5920992,3.9522219
08/01/2013,1:00 am,1.8311698,1.6381289,2.7211118
08/01/2013,1:30 am,1.591139,1.4612323,2.786667
08/01/2013,2:00 am,1.4526932,1.1636982,2.5705557
08/01/2013,2:30 am,1.2904584,1.1118481,2.236111
08/01/2013,3:00 am,1.0326585,1.3547876,2.3949997
08/01/2013,3:30 am,1.0308809,0.7361732,1.9611107
08/01/2013,4:00 am,1.5807965,0.90584654,1.9949998
08/01/2013,4:30 am,1.2711495,1.0765224,2.5772216
08/01/2013,5:00 am,2.6633668,1.3713156,3.6600003
08/01/2013,5:30 am,4.8760004,2.4056053,5.5888896
08/01/2013,6:00 am,10.570452,4.162789,9.181666
08/01/2013,6:30 am,14.920552,5.683345,14.282777
08/01/2013,7:00 am,25.532684,7.3618164,23.10611
08/01/2013,7:30 am,31.10846,7.9888287,29.067781
08/01/2013,8:00 am,39.931255,9.671378,34.799446
08/01/2013,8:30 am,44.873974,8.856169,30.563337
08/01/2013,9:00 am,26.338953,8.157947,28.52167
08/01/2013,9:30 am,22.561556,6.695435,24.89056
08/01/2013,10:00 am,20.601921,7.913053,23.44944
08/01/2013,10:30 am,16.316603,7.2600226,21.677778
08/01/2013,11:00 am,15.946996,8.088407,23.42389
08/01/2013,11:30 am,15.331325,8.033812,23.180552
08/01/2013,Noon,15.973711,8.894335,24.375555
08/01/2013,12:30 pm,16.916178,9.346066,23.926664
08/01/2013,1:00 pm,17.838732,9.369962,24.439997
08/01/2013,1:30 pm,16.602964,9.6420765,23.891665
08/01/2013,2:00 pm,17.998716,10.666447,26.224998
08/01/2013,2:30 pm,18.7283,12.382112,28.259447
08/01/2013,3:00 pm,19.075535,14.098554,30.11167
08/01/2013,3:30 pm,19.159351,14.3547735,33.75667
08/01/2013,4:00 pm,20.146275,16.370352,37.39222
08/01/2013,4:30 pm,21.5521,17.469885,48.961662
08/01/2013,5:00 pm,33.884796,17.071922,49.727215
08/01/2013,5:30 pm,50.98586,16.826635,42.464436
08/01/2013,6:00 pm,62.735394,14.853914,29.289995
08/01/2013,6:30 pm,63.695145,13.022448,28.324444
08/01/2013,7:00 pm,52.263992,10.441596,23.860552
08/01/2013,7:30 pm,14.358129,8.581356,19.143887
08/01/2013,8:00 pm,9.985024,7.2359567,16.31111
08/01/2013,8:30 pm,11.350726,7.34594,14.947781
08/01/2013,9:00 pm,10.671835,7.438742,14.920556
08/01/2013,9:30 pm,10.226593,8.041606,14.665
08/01/2013,10:00 pm,8.519593,7.385161,14.55222
08/01/2013,10:30 pm,7.6205926,6.643992,12.733888
08/01/2013,11:00 pm,6.5697045,4.7365174,8.633334
08/01/2013,11:30 pm,4.1478763,3.5749178,6.7600017
08/01/2013,Midnight,3.401314,3.36396,6.3022227
09/01/2013,12:30 am,2.292412,2.0919836,4.781667
09/01/2013,1:00 am,1.8527848,1.7226168,3.3122222
09/01/2013,1:30 am,1.6380645,1.4808406,3.1391299
09/01/2013,2:00 am,1.5340456,1.2312279,2.8483336
09/01/2013,2:30 am,1.4067189,1.3259614,2.192222
09/01/2013,3:00 am,1.0467165,1.0105349,2.375926
09/01/2013,3:30 am,1.2374895,1.2986133,1.901111
09/01/2013,4:00 am,1.4692067,1.0989357,1.8655366
09/01/2013,4:30 am,1.7316536,0.8608328,2.2711112
09/01/2013,5:00 am,2.9764543,1.5271995,3.705556
09/01/2013,5:30 am,4.934139,2.4949307,5.1600013
09/01/2013,6:00 am,10.288473,4.414598,8.963888
09/01/2013,6:30 am,15.242078,5.632922,14.870558
09/01/2013,7:00 am,26.763186,7.60427,22.026665
09/01/2013,7:30 am,30.807621,8.1477165,28.683338
09/01/2013,8:00 am,43.304436,9.133505,34.135555
09/01/2013,8:30 am,42.70575,8.262707,30.04889
09/01/2013,9:00 am,38.509277,7.871584,28.578335
09/01/2013,9:30 am,36.241814,7.6398177,23.729445
09/01/2013,10:00 am,21.257805,7.371368,21.892223
09/01/2013,10:30 am,16.38225,7.389334,20.61889
09/01/2013,11:00 am,16.896868,7.6969166,21.390001
09/01/2013,11:30 am,16.806805,8.268567,20.777773
09/01/2013,Noon,16.702427,9.13439,23.68111
09/01/2013,12:30 pm,16.692764,8.560626,22.796661
09/01/2013,1:00 pm,17.486912,10.279352,24.162224
09/01/2013,1:30 pm,16.813854,9.205874,23.859446
09/01/2013,2:00 pm,18.770594,10.335821,25.036108
09/01/2013,2:30 pm,18.396572,11.576135,27.264444
09/01/2013,3:00 pm,19.147999,13.461676,29.319439
09/01/2013,3:30 pm,18.950317,14.340898,31.525555
09/01/2013,4:00 pm,19.962538,15.409383,38.09055
09/01/2013,4:30 pm,19.57403,17.67742,63.412304
09/01/2013,5:00 pm,20.683296,16.397524,67.32223
09/01/2013,5:30 pm,19.156996,16.82069,46.83555
09/01/2013,6:00 pm,34.828194,15.350521,28.273895
09/01/2013,6:30 pm,22.964287,13.272601,28.04
09/01/2013,7:00 pm,16.280584,10.705476,22.486664
09/01/2013,7:30 pm,14.07298,8.703708,18.166666
09/01/2013,8:00 pm,11.300429,7.7644973,15.448888
09/01/2013,8:30 pm,10.969111,8.036543,14.608332
09/01/2013,9:00 pm,10.7672825,7.6408634,15.246112
09/01/2013,9:30 pm,11.621121,7.6979733,13.8583355
09/01/2013,10:00 pm,9.021014,6.9222317,11.323889
09/01/2013,10:30 pm,7.996423,6.002788,10.718888
09/01/2013,11:00 pm,6.856904,4.4350104,8.367223
09/01/2013,11:30 pm,4.527675,3.5160978,7.2572217
09/01/2013,Midnight,3.9207559,3.4225042,5.8166676
10/01/2013,12:30 am,2.806855,2.6069374,4.251668
10/01/2013,1:00 am,2.2515562,1.8358963,3.7799995
10/01/2013,1:30 am,1.7323949,1.668132,2.9466662
10/01/2013,2:00 am,1.5171978,1.2633586,3.0100005
10/01/2013,2:30 am,1.6219833,1.3089969,2.4494443
10/01/2013,3:00 am,1.1441342,1.0777375,2.4349997
10/01/2013,3:30 am,1.1402978,0.91862094,1.8588889
10/01/2013,4:00 am,1.5418401,0.9440149,1.8094443
10/01/2013,4:30 am,1.7043834,1.1565639,2.1555552
10/01/2013,5:00 am,2.678865,1.4641618,2.9300003
10/01/2013,5:30 am,4.8012214,2.3079293,4.7861114
10/01/2013,6:00 am,9.86561,4.150541,8.556668
10/01/2013,6:30 am,14.396407,5.8270855,13.295
10/01/2013,7:00 am,26.256767,7.564744,20.585001
10/01/2013,7:30 am,31.633081,8.596103,27.514997
10/01/2013,8:00 am,50.05066,8.900025,33.789444
10/01/2013,8:30 am,44.03243,7.6474376,28.986673
10/01/2013,9:00 am,30.039373,8.2765,27.785004
10/01/2013,9:30 am,24.668163,7.493846,24.784441
10/01/2013,10:00 am,21.578745,7.817843,23.310555
10/01/2013,10:30 am,17.69956,7.444926,20.25666
10/01/2013,11:00 am,17.2149,8.310991,22.494442
10/01/2013,11:30 am,16.308203,8.674313,21.995974
10/01/2013,Noon,17.55813,8.669835,22.842773
10/01/2013,12:30 pm,17.027485,9.370417,24.550556
10/01/2013,1:00 pm,18.588133,9.460546,24.45944
10/01/2013,1:30 pm,18.01461,10.094129,23.789999
10/01/2013,2:00 pm,19.016563,10.172824,25.90166
10/01/2013,2:30 pm,19.486612,11.923437,28.76556
10/01/2013,3:00 pm,22.203772,13.292756,31.003338
10/01/2013,3:30 pm,21.142109,14.651965,32.203896
10/01/2013,4:00 pm,22.813822,16.322714,34.181103
10/01/2013,4:30 pm,22.927156,17.982716,51.65889
10/01/2013,5:00 pm,29.712101,17.262255,60.13667
10/01/2013,5:30 pm,77.41512,16.655218,60.528893
10/01/2013,6:00 pm,67.96957,15.343892,71.570564
10/01/2013,6:30 pm,55.369564,13.265497,40.953335
10/01/2013,7:00 pm,51.184353,11.633643,23.750553
10/01/2013,7:30 pm,15.854398,9.28654,22.78167
10/01/2013,8:00 pm,12.960652,8.45718,19.80111
10/01/2013,8:30 pm,12.105327,7.9131145,18.883333
10/01/2013,9:00 pm,11.373691,7.5688505,17.463888
10/01/2013,9:30 pm,11.637838,8.765629,18.028889
